time,delay,data_value,
1,2021-07-07 13:19:54.216005,1490,
2,2021-07-07 13:19:54.222626,6621,
5,2021-07-07 13:19:54.264536,41910,
25,2021-07-07 13:19:54.265653,1117,
24,2021-07-07 13:19:54.267243,1590,
25,2021-07-07 13:19:54.314809,47566,
77,2021-07-07 13:19:54.315899,1090,
77,2021-07-07 13:19:54.317855,1956,
76,2021-07-07 13:19:54.364549,46694,
186,2021-07-07 13:19:54.365990,1441,
186,2021-07-07 13:19:54.367106,1116,
185,2021-07-07 13:19:54.414419,47313,
37,2021-07-07 13:19:54.415737,1318,
38,2021-07-07 13:19:54.417271,1534,
38,2021-07-07 13:19:54.464409,47138,
188,2021-07-07 13:19:54.465744,1335,
188,2021-07-07 13:19:54.467267,1523,
190,2021-07-07 13:19:54.515237,47970,
9,2021-07-07 13:19:54.517119,1882,
9,2021-07-07 13:19:54.518447,1328,
8,2021-07-07 13:19:54.562631,44184,
30,2021-07-07 13:19:54.562951,320,
31,2021-07-07 13:19:54.563566,615,
31,2021-07-07 13:19:54.613303,49737,
193,2021-07-07 13:19:54.613913,610,
195,2021-07-07 13:19:54.614591,678,
195,2021-07-07 13:19:54.664256,49665,
28,2021-07-07 13:19:54.665641,1385,
28,2021-07-07 13:19:54.671930,6289,
29,2021-07-07 13:19:54.714635,42705,
11,2021-07-07 13:19:54.715808,1173,
10,2021-07-07 13:19:54.717099,1291,
8,2021-07-07 13:19:54.762741,45642,
9,2021-07-07 13:19:54.763135,394,
10,2021-07-07 13:19:54.763538,403,
11,2021-07-07 13:19:54.814194,50656,
230,2021-07-07 13:19:54.815219,1025,
231,2021-07-07 13:19:54.816408,1189,
231,2021-07-07 13:19:54.864788,48380,
218,2021-07-07 13:19:54.866086,1298,
221,2021-07-07 13:19:54.867269,1183,
221,2021-07-07 13:19:54.914861,47592,
252,2021-07-07 13:19:54.916021,1160,
253,2021-07-07 13:19:54.916944,923,
255,2021-07-07 13:19:54.964556,47612,
233,2021-07-07 13:19:54.965973,1417,
231,2021-07-07 13:19:54.967139,1166,
230,2021-07-07 13:19:55.014267,47128,
250,2021-07-07 13:19:55.015516,1249,
251,2021-07-07 13:19:55.022083,6567,
251,2021-07-07 13:19:55.064321,42238,
240,2021-07-07 13:19:55.065741,1420,
240,2021-07-07 13:19:55.066760,1019,
241,2021-07-07 13:19:55.114331,47571,
235,2021-07-07 13:19:55.115691,1360,
236,2021-07-07 13:19:55.117064,1373,
236,2021-07-07 13:19:55.164338,47274,
26,2021-07-07 13:19:55.165823,1485,
27,2021-07-07 13:19:55.167184,1361,
28,2021-07-07 13:19:55.214666,47482,
2,2021-07-07 13:19:55.216361,1695,
2,2021-07-07 13:19:55.218005,1644,
2,2021-07-07 13:19:55.264750,46745,
251,2021-07-07 13:19:55.266307,1557,
252,2021-07-07 13:19:55.267596,1289,
252,2021-07-07 13:19:55.314574,46978,
233,2021-07-07 13:19:55.315909,1335,
233,2021-07-07 13:19:55.317192,1283,
233,2021-07-07 13:19:55.364498,47306,
222,2021-07-07 13:19:55.366229,1731,
222,2021-07-07 13:19:55.372005,5776,
223,2021-07-07 13:19:55.414556,42551,
41,2021-07-07 13:19:55.416191,1635,
40,2021-07-07 13:19:55.417273,1082,
40,2021-07-07 13:19:55.464586,47313,
